Legislation Number,URL,Title,Sponsor,Date of Introduction,Committees,Latest Action,Number of Cosponsors
H.R. 8439,https://www.congress.gov/bill/118th-congress/house-bill/8439,To amend the Food and Nutrition Act of 2008 to modify household income to exclude income earned by a member who is 21 years of age or younger and who is an elementary or secondary school student.,"Molinaro, Marcus J. [Rep.-R-NY-19]",5/16/2024,House - Agriculture,Referred to the House Committee on Agriculture.,0
H.R. 8438,https://www.congress.gov/bill/118th-congress/house-bill/8438,To amend the Internal Revenue Code of 1986 to permit qualified distributions from section 529 plans for certain transportation and parking expenses.,"McClellan, Jennifer L. [Rep.-D-VA-4]",5/16/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,1
H.R. 8437,https://www.congress.gov/bill/118th-congress/house-bill/8437,To provide for congressional oversight of proposed changes to arms sales to Israel.,"McCaul, Michael T. [Rep.-R-TX-10]",5/16/2024,"House - Foreign Affairs, Rules","Referred to the Committee on Foreign Affairs, and in addition to the Committee on Rules, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",35
H.R. 8436,https://www.congress.gov/bill/118th-congress/house-bill/8436,To amend the Federal Crop Insurance Act to modify a provision relating to quality loss adjustment coverage.,"Letlow, Julia [Rep.-R-LA-5]",5/16/2024,House - Agriculture,Referred to the House Committee on Agriculture.,0
H.R. 8435,https://www.congress.gov/bill/118th-congress/house-bill/8435,"To amend the Internal Revenue Code of 1986 to treat certain price protection payments as eligible rollover distributions, and for other purposes.","Kelly, Mike [Rep.-R-PA-16]",5/16/2024,House - Ways and Means,Referred to the House Committee on Ways and Means.,1
H.R. 8434,https://www.congress.gov/bill/118th-congress/house-bill/8434,"To designate the facility of the United States Postal Service located at 107 North Hoyne Avenue in Fritch, Texas, as the ""Chief Zeb Smith Post Office"".","Jackson, Ronny [Rep.-R-TX-13]",5/16/2024,House - Oversight and Accountability,Referred to the House Committee on Oversight and Accountability.,13
H.R. 8433,https://www.congress.gov/bill/118th-congress/house-bill/8433,"To amend the Public Health Service Act to require the National Institutes of Health to select awardees based on merit, and for other purposes.","Hageman, Harriet M. [Rep.-R-WY-At Large]",5/16/2024,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,4
H.R. 8432,https://www.congress.gov/bill/118th-congress/house-bill/8432,"To codify Executive Order 13809, and for other purposes.","Good, Bob [Rep.-R-VA-5]",5/16/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,4
H.R. 8431,https://www.congress.gov/bill/118th-congress/house-bill/8431,"To require the Secretary of Agriculture to provide regular updates to Livestock Indemnity Program payment rates to reflect market prices, and for other purposes.","Feenstra, Randy [Rep.-R-IA-4]",5/16/2024,House - Agriculture,Referred to the House Committee on Agriculture.,1
H.R. 8430,https://www.congress.gov/bill/118th-congress/house-bill/8430,"To make certain adjustments pertaining to the Alternatives to Detention program, and for other purposes.","Donalds, Byron [Rep.-R-FL-19]",5/16/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,15
H.R. 8429,https://www.congress.gov/bill/118th-congress/house-bill/8429,To amend the Omnibus Crime Control and Safe Streets Act of 1968 to authorize the use of Byrne-JAG grants for the purchase of disaster response and tactical vehicles.,"Craig, Angie [Rep.-D-MN-2]",5/16/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,0
H.R. 8428,https://www.congress.gov/bill/118th-congress/house-bill/8428,"To amend the Oregon Resource Conservation Act of 1996 to reauthorize the Deschutes River Conservancy Working Group, and for other purposes.","Chavez-DeRemer, Lori [Rep.-R-OR-5]",5/16/2024,House - Natural Resources,Referred to the House Committee on Natural Resources.,0
H.R. 8427,https://www.congress.gov/bill/118th-congress/house-bill/8427,"To prohibit the importation, sale, manufacture, transfer, or possession of .50 caliber rifles, and for other purposes.","Castro, Joaquin [Rep.-D-TX-20]",5/16/2024,"House - Judiciary, Ways and Means","Referred to the Committee on the Judiciary, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",19
H.R. 8426,https://www.congress.gov/bill/118th-congress/house-bill/8426,"To secure the rights of public employees to organize, act concertedly, and bargain collectively, which safeguard the public interest and promote the free and unobstructed flow of commerce, and for other purposes.","Cartwright, Matt [Rep.-D-PA-8]",5/16/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,94
H.R. 8425,https://www.congress.gov/bill/118th-congress/house-bill/8425,"To direct the Administrator of the Small Business Administration to revise a rule relating to language translation assistance with respect to certain needs assessments, and for other purposes.","Caraveo, Yadira [Rep.-D-CO-8]",5/16/2024,House - Small Business,Referred to the House Committee on Small Business.,1
H.R. 8424,https://www.congress.gov/bill/118th-congress/house-bill/8424,"To require the release to the public of all documents, reports, and other records relating to unidentified anomalous phenomena, and for other purposes.","Burchett, Tim [Rep.-R-TN-2]",5/16/2024,House - Oversight and Accountability,Referred to the House Committee on Oversight and Accountability.,3
H.R. 8423,https://www.congress.gov/bill/118th-congress/house-bill/8423,"To amend the Older Americans Act of 1965 to establish a LGBTQI rural outreach grant program, and for other purposes.","Bonamici, Suzanne [Rep.-D-OR-1]",5/16/2024,House - Education and the Workforce,Referred to the House Committee on Education and the Workforce.,12
H.R. 8422,https://www.congress.gov/bill/118th-congress/house-bill/8422,"To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to establish programs for the provision of mental health services to individuals affected by a major disaster, and for other purposes.","Balint, Becca [Rep.-D-VT-At Large]",5/16/2024,"House - Transportation and Infrastructure, Homeland Security","Referred to the Committee on Transportation and Infrastructure, and in addition to the Committee on Homeland Security, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
H.R. 8421,https://www.congress.gov/bill/118th-congress/house-bill/8421,"To abolish the Board of Governors of the Federal Reserve System and the Federal reserve banks, to repeal the Federal Reserve Act, and for other purposes.","Massie, Thomas [Rep.-R-KY-4]",5/16/2024,House - Financial Services,Referred to the House Committee on Financial Services.,23
H.R. 8420,https://www.congress.gov/bill/118th-congress/house-bill/8420,Filling Public Safety Vacancies Act,"Carbajal, Salud O. [Rep.-D-CA-24]",5/16/2024,"House - Appropriations, Budget","Referred to the Committee on Appropriations, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2
H.R. 8419,https://www.congress.gov/bill/118th-congress/house-bill/8419,"To amend the Justice for United States Victims of State Sponsored Terrorism Act to provide funding for United States victims of state-sponsored terrorism by ensuring consistent and meaningful distributions from the United States Victims of State Sponsored Terrorism Fund, and for other purposes.","Lawler, Michael [Rep.-R-NY-17]",5/16/2024,House - Judiciary,Referred to the House Committee on the Judiciary.,27
H.R. 8418,https://www.congress.gov/bill/118th-congress/house-bill/8418,"To direct the Secretary of Veterans Affairs to update the Lethal Means Safety and Suicide Prevention training course of the Department of Veterans Affairs, and for other purposes.","Underwood, Lauren [Rep.-D-IL-14]",5/16/2024,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,2
H.R. 8417,https://www.congress.gov/bill/118th-congress/house-bill/8417,"To require congressional notice of the cancellation or termination of contracts by the Department of Defense involving certain numbers of employees of contractors, and for other purposes.","Vasquez, Gabe [Rep.-D-NM-2]",5/15/2024,House - Armed Services,Referred to the House Committee on Armed Services.,0
H.R. 8416,https://www.congress.gov/bill/118th-congress/house-bill/8416,"To amend the Harmonized Tariff Schedule of the United States to increase the rate of duty on unmanned aircraft, and for other purposes.","Stefanik, Elise M. [Rep.-R-NY-21]",5/15/2024,"House - Ways and Means, Transportation and Infrastructure, Agriculture","Referred to the Committee on Ways and Means, and in addition to the Committees on Transportation and Infrastructure, and Agriculture, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",4
