bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1651066,2650665,text,229111,application/pdf,Introduced,https://legiscan.com/US/text/HB142/id/2650665,https://www.congress.gov/118/bills/hr142/BILLS-118hr142ih.pdf
1651049,2650735,text,229100,application/pdf,Introduced,https://legiscan.com/US/text/HB143/id/2650735,https://www.congress.gov/118/bills/hr143/BILLS-118hr143ih.pdf
1650964,2650806,text,228809,application/pdf,Introduced,https://legiscan.com/US/text/HB144/id/2650806,https://www.congress.gov/118/bills/hr144/BILLS-118hr144ih.pdf
1650804,2651031,text,229340,application/pdf,Introduced,https://legiscan.com/US/text/HB145/id/2651031,https://www.congress.gov/118/bills/hr145/BILLS-118hr145ih.pdf
1651060,2650828,text,228968,application/pdf,Introduced,https://legiscan.com/US/text/HB146/id/2650828,https://www.congress.gov/118/bills/hr146/BILLS-118hr146ih.pdf
1650540,2650873,text,229396,application/pdf,Introduced,https://legiscan.com/US/text/HB147/id/2650873,https://www.congress.gov/118/bills/hr147/BILLS-118hr147ih.pdf
1650829,2650688,text,230702,application/pdf,Introduced,https://legiscan.com/US/text/HB148/id/2650688,https://www.congress.gov/118/bills/hr148/BILLS-118hr148ih.pdf
1650602,2650933,text,230356,application/pdf,Introduced,https://legiscan.com/US/text/HB149/id/2650933,https://www.congress.gov/118/bills/hr149/BILLS-118hr149ih.pdf
1650568,2650935,text,229638,application/pdf,Introduced,https://legiscan.com/US/text/HB150/id/2650935,https://www.congress.gov/118/bills/hr150/BILLS-118hr150ih.pdf
1650520,2650921,text,234866,application/pdf,Introduced,https://legiscan.com/US/text/HB151/id/2650921,https://www.congress.gov/118/bills/hr151/BILLS-118hr151ih.pdf
1650896,2650810,text,238221,application/pdf,Introduced,https://legiscan.com/US/text/HB152/id/2650810,https://www.congress.gov/118/bills/hr152/BILLS-118hr152ih.pdf
1651027,2650727,text,234559,application/pdf,Introduced,https://legiscan.com/US/text/HB153/id/2650727,https://www.congress.gov/118/bills/hr153/BILLS-118hr153ih.pdf
1650648,2651684,text,246782,application/pdf,Introduced,https://legiscan.com/US/text/HB154/id/2651684,https://www.congress.gov/118/bills/hr154/BILLS-118hr154ih.pdf
1651005,2650960,text,230710,application/pdf,Introduced,https://legiscan.com/US/text/HB155/id/2650960,https://www.congress.gov/118/bills/hr155/BILLS-118hr155ih.pdf
1651142,2650769,text,311651,application/pdf,Introduced,https://legiscan.com/US/text/HB156/id/2650769,https://www.congress.gov/118/bills/hr156/BILLS-118hr156ih.pdf
1650513,2651253,text,232972,application/pdf,Introduced,https://legiscan.com/US/text/HB157/id/2651253,https://www.congress.gov/118/bills/hr157/BILLS-118hr157ih.pdf
1650917,2651330,text,236469,application/pdf,Introduced,https://legiscan.com/US/text/HB158/id/2651330,https://www.congress.gov/118/bills/hr158/BILLS-118hr158ih.pdf
1651217,2663258,text,262956,application/pdf,Introduced,https://legiscan.com/US/text/HB159/id/2663258,https://www.congress.gov/118/bills/hr159/BILLS-118hr159ih.pdf
1651217,2664517,text,137141,application/pdf,Engrossed,https://legiscan.com/US/text/HB159/id/2664517,https://www.congress.gov/118/bills/hr159/BILLS-118hr159eh.pdf
1651075,2650750,text,230222,application/pdf,Introduced,https://legiscan.com/US/text/HB160/id/2650750,https://www.congress.gov/118/bills/hr160/BILLS-118hr160ih.pdf
1651037,2650788,text,231738,application/pdf,Introduced,https://legiscan.com/US/text/HB161/id/2650788,https://www.congress.gov/118/bills/hr161/BILLS-118hr161ih.pdf
1650661,2651362,text,246819,application/pdf,Introduced,https://legiscan.com/US/text/HB162/id/2651362,https://www.congress.gov/118/bills/hr162/BILLS-118hr162ih.pdf
